Date : 2025-07-24 16:16:27
Directory : d:\kafeiy_blog\blog_client
Total : 55 files,  14524 codes, 168 comments, 289 blanks, all 14981 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     10,362 |          0 |          4 |     10,366 |
| vue        |         23 |      1,872 |        106 |        197 |      2,175 |
| CSS        |          2 |      1,420 |          2 |          8 |      1,430 |
| JavaScript |         17 |        591 |         34 |         54 |        679 |
| HTML       |          4 |        270 |          6 |         16 |        292 |
| YAML       |          1 |          4 |         19 |          7 |         30 |
| Markdown   |          1 |          3 |          0 |          3 |          6 |
| Properties |          1 |          1 |          1 |          0 |          2 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |         55 |     14,524 |        168 |        289 |     14,981 |
| . (Files)                                                                                    |          8 |      9,052 |         26 |         25 |      9,103 |
| .vercel                                                                                      |          1 |          1 |          0 |          0 |          1 |
| package                                                                                      |         44 |      5,451 |        138 |        260 |      5,849 |
| package\blogAdmin                                                                            |          4 |         38 |          0 |          7 |         45 |
| package\blogAdmin (Files)                                                                    |          2 |         27 |          0 |          2 |         29 |
| package\blogAdmin\src                                                                        |          2 |         11 |          0 |          5 |         16 |
| package\blogFront                                                                            |         37 |      5,323 |        120 |        237 |      5,680 |
| package\blogFront (Files)                                                                    |          6 |      1,659 |          3 |          6 |      1,668 |
| package\blogFront\src                                                                        |         31 |      3,664 |        117 |        231 |      4,012 |
| package\blogFront\src (Files)                                                                |          4 |      1,458 |          2 |         20 |      1,480 |
| package\blogFront\src\api                                                                    |          1 |         10 |          1 |          0 |         11 |
| package\blogFront\src\components                                                             |         17 |      1,456 |        104 |        140 |      1,700 |
| package\blogFront\src\components (Files)                                                     |          1 |        540 |         28 |         45 |        613 |
| package\blogFront\src\components\basic                                                       |          5 |        233 |          6 |         31 |        270 |
